ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
13.0,166.0,97.0,137.0,289.0,152.0,67.0,6.0,17.0,394.0,257.0,1.0,153.0,73.0,545.0,280.0,88.0,98.0,78.0,180.0,94.0,13.0,494.0,262.0,485.0,101.0,62.0,171.0,96.0,77.0,10.0,137.0,97.0,57.0,209.0,205.0,90.0,31.0,292.0,63.0,24.0,77.0,108.0,301.0,813.0,61.0,88.0,0.0,77.0,325.0,80.0,19.0
0.0,209.0,169.0,163.0,456.0,261.0,91.0,10.0,16.0,476.0,168.0,11.0,205.0,88.0,766.0,396.0,157.0,126.0,399.0,183.0,120.0,12.0,503.0,324.0,174.0,133.0,84.0,286.0,105.0,126.0,13.0,195.0,168.0,101.0,256.0,20.0,106.0,59.0,530.0,82.0,31.0,88.0,175.0,373.0,998.0,74.0,147.0,4.0,100.0,368.0,78.0,41.0
0.0,120.0,121.0,170.0,433.0,197.0,133.0,10.0,19.0,505.0,159.0,11.0,174.0,73.0,687.0,380.0,120.0,108.0,123.0,210.0,171.0,17.0,588.0,337.0,269.0,130.0,70.0,133.0,80.0,77.0,2.0,217.0,157.0,122.0,347.0,657.0,115.0,85.0,509.0,77.0,33.0,153.0,124.0,281.0,801.0,74.0,120.0,4.0,81.0,301.0,69.0,51.0
39.0,311.0,190.0,316.0,781.0,353.0,185.0,15.0,22.0,665.0,194.0,18.0,276.0,113.0,1061.0,557.0,257.0,176.0,177.0,282.0,223.0,33.0,855.0,405.0,354.0,155.0,64.0,403.0,93.0,211.0,50.0,343.0,209.0,167.0,460.0,558.0,160.0,128.0,980.0,98.0,62.0,213.0,166.0,393.0,1238.0,72.0,142.0,12.0,137.0,409.0,109.0,44.0
33.0,193.0,284.0,407.0,1095.0,600.0,217.0,20.0,23.0,705.0,235.0,7.0,572.0,143.0,1036.0,563.0,286.0,136.0,233.0,345.0,284.0,30.0,878.0,461.0,333.0,238.0,83.0,280.0,51.0,180.0,39.0,430.0,208.0,217.0,652.0,535.0,168.0,104.0,1233.0,80.0,74.0,173.0,150.0,522.0,1317.0,116.0,214.0,16.0,48.0,339.0,130.0,64.0
7.0,310.0,293.0,614.0,1640.0,383.0,218.0,22.0,46.0,698.0,232.0,0.0,379.0,104.0,911.0,599.0,269.0,189.0,224.0,368.0,316.0,35.0,878.0,406.0,433.0,210.0,47.0,403.0,167.0,114.0,53.0,443.0,214.0,205.0,829.0,555.0,148.0,165.0,1360.0,96.0,98.0,195.0,102.0,609.0,749.0,100.0,239.0,16.0,299.0,363.0,160.0,30.0
16.0,300.0,245.0,0.0,1552.0,279.0,210.0,31.0,29.0,648.0,277.0,0.0,156.0,111.0,768.0,439.0,0.0,159.0,250.0,246.0,259.0,31.0,617.0,297.0,361.0,197.0,59.0,0.0,35.0,79.0,0.0,436.0,175.0,192.0,530.0,462.0,158.0,113.0,1086.0,77.0,116.0,221.0,20.0,441.0,1826.0,0.0,203.0,16.0,81.0,274.0,0.0,0.0
7.0,183.0,267.0,1090.0,3097.0,324.0,308.0,26.0,35.0,767.0,180.0,0.0,200.0,94.0,861.0,632.0,538.0,164.0,245.0,893.0,284.0,116.0,615.0,282.0,43.0,316.0,48.0,712.0,44.0,114.0,124.0,578.0,205.0,223.0,1461.0,567.0,177.0,62.0,1285.0,100.0,85.0,312.0,132.0,555.0,1991.0,147.0,269.0,13.0,347.0,306.0,248.0,87.0
13.0,461.0,294.0,1080.0,4807.0,274.0,225.0,23.0,42.0,936.0,389.0,40.0,194.0,86.0,971.0,510.0,270.0,182.0,336.0,541.0,284.0,41.0,841.0,278.0,386.0,229.0,83.0,657.0,42.0,87.0,89.0,646.0,198.0,262.0,1212.0,551.0,214.0,98.0,1475.0,85.0,132.0,344.0,71.0,734.0,2360.0,92.0,262.0,16.0,191.0,259.0,206.0,51.0
7.0,785.0,268.0,1124.0,4672.0,159.0,270.0,33.0,44.0,1225.0,750.0,14.0,185.0,73.0,757.0,325.0,354.0,225.0,331.0,501.0,264.0,67.0,509.0,219.0,305.0,525.0,37.0,516.0,32.0,84.0,64.0,584.0,182.0,302.0,1367.0,572.0,226.0,183.0,1540.0,73.0,71.0,426.0,72.0,651.0,2412.0,99.0,345.0,7.0,239.0,246.0,194.0,33.0
5.0,542.0,295.0,972.0,4006.0,137.0,226.0,22.0,25.0,1153.0,769.0,6.0,164.0,62.0,629.0,405.0,96.0,296.0,359.0,481.0,327.0,54.0,525.0,169.0,297.0,250.0,58.0,612.0,27.0,42.0,54.0,512.0,214.0,238.0,1325.0,512.0,292.0,107.0,1216.0,70.0,88.0,307.0,49.0,467.0,2251.0,103.0,350.0,7.0,270.0,221.0,118.0,49.0
7.0,1028.0,262.0,883.0,3248.0,133.0,227.0,41.0,49.0,1189.0,769.0,74.0,414.0,56.0,574.0,259.0,181.0,324.0,297.0,444.0,199.0,26.0,349.0,105.0,200.0,274.0,83.0,639.0,11.0,41.0,70.0,534.0,138.0,238.0,1299.0,464.0,268.0,73.0,1135.0,56.0,73.0,498.0,73.0,757.0,2050.0,70.0,386.0,4.0,173.0,178.0,130.0,25.0
5.0,836.0,208.0,925.0,2738.0,95.0,168.0,39.0,118.0,1222.0,757.0,20.0,207.0,42.0,485.0,1843.0,322.0,306.0,260.0,422.0,225.0,9.0,331.0,100.0,395.0,224.0,81.0,650.0,6.0,47.0,47.0,506.0,116.0,248.0,1300.0,485.0,266.0,64.0,806.0,54.0,74.0,609.0,32.0,885.0,1694.0,72.0,317.0,9.0,166.0,155.0,105.0,28.0
6.0,720.0,189.0,933.0,2162.0,97.0,167.0,27.0,75.0,1082.0,638.0,8.0,128.0,37.0,383.0,356.0,263.0,231.0,173.0,485.0,186.0,14.0,265.0,77.0,312.0,195.0,15.0,510.0,4.0,43.0,29.0,464.0,130.0,171.0,986.0,4694.0,211.0,92.0,629.0,36.0,67.0,347.0,35.0,438.0,1388.0,57.0,239.0,6.0,226.0,102.0,81.0,23.0
10.0,349.0,92.0,527.0,1618.0,70.0,142.0,16.0,84.0,1123.0,669.0,5.0,100.0,22.0,345.0,204.0,266.0,165.0,175.0,342.0,152.0,9.0,222.0,56.0,266.0,90.0,13.0,434.0,7.0,44.0,21.0,405.0,95.0,176.0,916.0,471.0,157.0,55.0,502.0,60.0,94.0,326.0,19.0,214.0,1201.0,57.0,320.0,8.0,148.0,59.0,6.0,15.0
6.0,341.0,72.0,475.0,1175.0,61.0,104.0,10.0,55.0,947.0,436.0,8.0,136.0,34.0,269.0,200.0,122.0,190.0,142.0,241.0,169.0,45.0,166.0,52.0,202.0,128.0,16.0,286.0,7.0,31.0,16.0,394.0,92.0,86.0,742.0,478.0,247.0,57.0,426.0,57.0,137.0,222.0,25.0,277.0,939.0,82.0,1213.0,8.0,134.0,75.0,84.0,9.0
6.0,218.0,20.0,348.0,862.0,39.0,77.0,25.0,51.0,833.0,535.0,5.0,82.0,19.0,278.0,162.0,94.0,182.0,140.0,307.0,84.0,4.0,151.0,65.0,245.0,127.0,23.0,290.0,4.0,31.0,11.0,321.0,93.0,77.0,766.0,686.0,107.0,87.0,330.0,23.0,55.0,209.0,12.0,151.0,735.0,41.0,1048.0,3.0,89.0,48.0,18.0,13.0
4.0,181.0,92.0,225.0,614.0,51.0,61.0,11.0,23.0,599.0,284.0,7.0,80.0,31.0,193.0,118.0,52.0,163.0,135.0,271.0,99.0,16.0,115.0,196.0,149.0,93.0,12.0,206.0,9.0,19.0,18.0,329.0,44.0,80.0,685.0,459.0,167.0,26.0,234.0,21.0,33.0,121.0,8.0,95.0,591.0,43.0,437.0,6.0,85.0,32.0,212.0,9.0
7.0,108.0,60.0,193.0,487.0,36.0,68.0,9.0,26.0,473.0,275.0,3.0,42.0,33.0,151.0,92.0,15.0,756.0,104.0,222.0,123.0,5.0,134.0,37.0,67.0,56.0,22.0,118.0,3.0,9.0,18.0,271.0,36.0,51.0,592.0,339.0,86.0,38.0,208.0,16.0,26.0,133.0,11.0,85.0,510.0,43.0,183.0,5.0,47.0,28.0,87.0,1.0
3.0,89.0,45.0,172.0,363.0,18.0,36.0,6.0,30.0,455.0,337.0,8.0,43.0,13.0,164.0,76.0,0.0,295.0,100.0,248.0,81.0,7.0,141.0,47.0,71.0,45.0,22.0,206.0,6.0,38.0,20.0,230.0,36.0,62.0,574.0,126.0,62.0,16.0,208.0,16.0,46.0,117.0,14.0,139.0,373.0,58.0,66.0,6.0,43.0,36.0,22.0,2.0
3.0,110.0,30.0,87.0,262.0,31.0,37.0,14.0,14.0,482.0,2711.0,5.0,104.0,10.0,133.0,53.0,41.0,116.0,75.0,166.0,83.0,9.0,210.0,45.0,60.0,54.0,30.0,106.0,0.0,12.0,12.0,233.0,24.0,37.0,563.0,421.0,103.0,12.0,193.0,19.0,22.0,74.0,14.0,74.0,293.0,15.0,101.0,4.0,58.0,32.0,60.0,5.0
6.0,77.0,19.0,81.0,245.0,23.0,38.0,11.0,12.0,326.0,276.0,4.0,34.0,27.0,139.0,70.0,8.0,101.0,53.0,106.0,102.0,5.0,303.0,82.0,11.0,39.0,56.0,109.0,4.0,33.0,8.0,233.0,27.0,171.0,552.0,184.0,1716.0,55.0,208.0,24.0,8.0,76.0,1.0,86.0,286.0,27.0,143.0,2.0,43.0,34.0,46.0,1.0
17.0,78.0,33.0,69.0,214.0,42.0,51.0,15.0,24.0,418.0,270.0,3.0,24.0,24.0,162.0,76.0,25.0,88.0,66.0,75.0,102.0,15.0,371.0,63.0,120.0,57.0,23.0,139.0,8.0,15.0,13.0,273.0,25.0,33.0,468.0,164.0,28.0,17.0,283.0,52.0,9.0,60.0,7.0,56.0,309.0,5.0,109.0,11.0,58.0,34.0,40.0,2.0
2.0,61.0,24.0,115.0,186.0,52.0,52.0,3.0,14.0,409.0,217.0,4.0,46.0,14.0,184.0,50.0,13.0,111.0,54.0,88.0,108.0,7.0,475.0,59.0,60.0,22.0,17.0,136.0,7.0,27.0,14.0,237.0,23.0,57.0,354.0,131.0,19.0,19.0,300.0,58.0,13.0,94.0,6.0,78.0,275.0,16.0,110.0,2.0,54.0,39.0,36.0,2.0
7.0,62.0,25.0,76.0,158.0,53.0,50.0,7.0,10.0,420.0,237.0,8.0,25.0,15.0,219.0,75.0,14.0,68.0,46.0,71.0,100.0,17.0,484.0,81.0,50.0,24.0,11.0,128.0,8.0,3.0,21.0,220.0,43.0,42.0,314.0,162.0,72.0,19.0,287.0,50.0,11.0,90.0,11.0,58.0,254.0,22.0,100.0,3.0,65.0,46.0,24.0,2.0
9.0,65.0,18.0,65.0,156.0,53.0,40.0,4.0,10.0,463.0,156.0,5.0,32.0,15.0,219.0,69.0,34.0,69.0,51.0,61.0,103.0,6.0,484.0,71.0,80.0,29.0,18.0,129.0,5.0,10.0,10.0,201.0,31.0,34.0,378.0,144.0,44.0,27.0,257.0,59.0,19.0,72.0,12.0,54.0,251.0,20.0,104.0,2.0,65.0,35.0,40.0,3.0
7.0,60.0,33.0,57.0,155.0,93.0,36.0,10.0,15.0,344.0,139.0,4.0,16.0,8.0,218.0,62.0,22.0,70.0,45.0,71.0,75.0,7.0,413.0,65.0,35.0,26.0,6.0,82.0,5.0,39.0,20.0,160.0,15.0,32.0,271.0,100.0,46.0,60.0,284.0,64.0,10.0,61.0,12.0,55.0,234.0,34.0,123.0,3.0,62.0,37.0,31.0,2.0
