"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-08-01","1993-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","73"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-09-01","1993-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","45"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-10-01","1993-10-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","28"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-11-01","1993-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","21"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-12-01","1993-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","9"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-01-01","1994-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","33"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-02-01","1994-02-28","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","30"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-03-01","1994-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","51"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-04-01","1994-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","20"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-05-01","1994-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","60"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-06-01","1994-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","103"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-07-01","1994-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","19"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-08-01","1994-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","7"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-09-01","1994-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","3"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-10-01","1994-10-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","4"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-11-01","1994-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","6"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1994-12-01","1994-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","8"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-01-01","1995-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","23"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-02-01","1995-02-28","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","26"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-03-01","1995-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","93"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-04-01","1995-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","139"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-05-01","1995-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","129"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-06-01","1995-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","58"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-07-01","1995-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","182"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-08-01","1995-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","73"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-09-01","1995-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","6"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-10-01","1995-10-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","49"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-11-01","1995-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","15"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1995-12-01","1995-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-01-01","1996-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","621"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-02-01","1996-02-29","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1193"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-03-01","1996-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","193"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-04-01","1996-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","97"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-05-01","1996-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","238"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-06-01","1996-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","136"
